Pregunta|Intencion|Intencion_cat_label|Intencion_encoded
que es super prestamos prendario|Cat_225|225|134
alguien me puede decir donde tengo que llevar el tv asegurado por este banco|Cat_265|265|178
que debo hacer para tener una tarjeta de debito|Cat_39|39|285
quiero saber a donde llega mi tarjeta nueva|Cat_293|293|208
queria saber cómo puedo hacer para sacar un prestamo para cambiar mi auto|Cat_223|223|132
unifique mi cuenta de aa veo todo ok menos las millas que tenía|Cat_275|275|189
como realizo un blanqueo de pin|Cat_288|288|202
hacer desconocimiento pago tarjeta credito|Cat_112|112|15
como hago para ampliar la extracion por el cajero|Cat_287|287|201
necesitar pagar cuenta|Cat_132|132|32
el ccredito es precancelable??|Cat_246|246|157
por que la tarjeta de mi esposa está bloqueada?|Cat_286|286|200
se puede incrementar un préstamo?|Cat_196|196|102
hasta cuanta plata podés sacar por ventanilla?|Cat_128|128|27
cargos y mantenimiento|Cat_96|96|348
cuit del banco santander rio|Cat_105|105|8
donde esta el apartado de lebacs?|Cat_159|159|61
nesecito abrir una caja de ahorro en pesosss|Cat_39|39|285
solicitar baja|Cat_41|41|288
hice una transferencia pero me olvidé que la cuenta estaba cerrada|Cat_78|78|328
no recibi tarjeta recargable|Cat_293|293|208
cuál es el porcentaje máximo de financiación del préstamo de los autos?|Cat_245|245|156
cual es el costo de la comision por transferencia|Cat_83|83|334
como hago para pagar iibb|Cat_132|132|32
cuando se acreditan el pago de mis letes?|Cat_161|161|64
no soy cliente del banco igual puedo sacar un préstamo?|Cat_248|248|159
porque no me aparece el pedido realizado de letes|Cat_187|187|92
poner metrogas tarjeta|Cat_132|132|32
no me figura en la lista de servicos un vep que me generaron para abonar|Cat_129|129|28
como usó el vaucher de la recarga de credito|Cat_333|333|253
canjeé dos entradas y me las dieron para diferentes filas.|Cat_324|324|243
quisiera saber si mi caja de ahorro sigue activa|Cat_61|61|310
que pasa si no puedo pagar el préstamo hipotecario?|Cat_240|240|151
donde están los comprobantes en home banking?|Cat_98|98|350
encontrar cargo facturar erroneamente|Cat_112|112|15
queria saber si aprobaron mi solicitud para la tarjeta de credito|Cat_118|118|19
cuando me llega la tarjeta a mi domicilio|Cat_293|293|208
querer saber deber tarjeta|Cat_342|342|263
cuales medios de pago son habilidatos para pagar tarjeta|Cat_342|342|263
poder pagar mastercard autoservicio banco|Cat_342|342|263
necesito transferir en dolares y no tengo tarjeta de corrdenadas|Cat_5|5|297
cuanto tiempo tarda en acreditarse un credito|Cat_226|226|135
valor del euro?|Cat_166|166|69
una reposición que hace un mes y no me llego.|Cat_293|293|208
necesito un numero de telefono de visa|Cat_147|147|48
necesito los datos de mi oficial de cuenta para hacer una consulta|Cat_126|126|25
como veo el resumen de una extencion de mi tarjeta de credito|Cat_138|138|38
verificar cliente santander|Cat_61|61|310
quiero cambiar mis puntos con despegar y no me permite|Cat_322|322|241
necesito realizar un compromiso de pago|Cat_191|191|97
¿dan ccreditos para la compra de terreno?|Cat_228|228|137
tengo que anortarme en sorteo para obtener el prestamo procrear?|Cat_200|200|108
cual es el ingreso mínimo para poder acceder a un préstamo hipotecairo?|Cat_249|249|160
averiguar jubilacion acreditar banco santander|Cat_50|50|298
cómo es la condición de emisión de letes?|Cat_158|158|60
como hago para usar la banelco en el exterior?|Cat_289|289|203
no he recibido un pago que me enviaron desde el exterior|Cat_33|33|249
de cuanto serias las cuotas en caso de solicitar|Cat_251|251|163
con menos ingresos no puedo pedir el préstamos prendarios|Cat_249|249|160
no quiero recibir mas el resumen de la tarjeta por correo solo por correo electronico|Cat_138|138|38
cuales son los pasos a seguir después de la tasación?|Cat_241|241|152
no me depositaron mis letes|Cat_172|172|76
necesitar informar compra realizar cancelar seguir cobrar|Cat_112|112|15
algun costo operar bono|Cat_96|96|348
limite comprar cuota american|Cat_303|303|220
el prestamo hipotecario es válido para construccion?|Cat_228|228|137
voy a necesitar otra cuenta para cobrar el sueldo|Cat_72|72|322
habian pasado dias hábiles y no me habían reintegrado el descuento por una compra con promo|Cat_312|312|230
hace un tiempo di de baja una cuenta universia y me sigue apareciendo en la app|Cat_41|41|288
quien es el titular del credito ipotecario?|Cat_256|256|168
¿cuándo van a darme de baja la cta?|Cat_41|41|288
vencimiento de mi tarjetas visa|Cat_341|341|262
agregar metrogas a la tarjeta|Cat_132|132|32
puedo comprar dolares desde mi cuenta corriente online?|Cat_166|166|69
quiero optener la tarjeta debito visa|Cat_39|39|285
porque mi cuenta esta inactiva|Cat_61|61|310
no puedo pagar el monotributo por online banking|Cat_129|129|28
depositar plata cajero pagar tarjeta|Cat_342|342|263
no me habían enviado la nueva tarjeta debito|Cat_293|293|208
puedo consultar en linea si califico para un préstamo?|Cat_248|248|159
quiero confirmar una recarga sube porque no se me acreditó el saldo|Cat_129|129|28
quiero abrir una segunda cuenta|Cat_39|39|285
saber cuanto plata retirar cajero|Cat_303|303|220
compra de auto|Cat_228|228|137
el prestamo personal puede ser en dolares?|Cat_225|225|134
quiero dar de baja mis tarjetas y cerrar mi cuenta a donde me tengo que comunicar?|Cat_41|41|288
donde hacer un reclamo por una compra con tarjeta que no autorise|Cat_112|112|15
sobre vencimiento de mi tarjeta y cuando puedo retirar la que no es provisoria.|Cat_316|316|234
cómo agrego un servicio a la agenda de pagos|Cat_132|132|32
quiero pasar a una caja de ahorro con tarjeta no me interesa tener cuenta corriente ni prestamo pre acordado.|Cat_41|41|288
abrir una cuenta sin recibo de sueldo|Cat_39|39|285
quisiera saber donde puedo ver el resumen de mi tarjeta de credito en detalle es decir cada consumo realizado ya que no encuentro la opcion por ningún lado.|Cat_138|138|38
tengo un problema tecnico con un fondo|Cat_172|172|76
sabes que sucursal tiene euros?|Cat_166|166|69
quiero saver como puedo sacar el prestamo uva yo soy cliente del banco hace aaños|Cat_223|223|132
quiero abonar un servicio de dnrap y no me figura|Cat_132|132|32
avisar que voy a pagar|Cat_191|191|97
que es nova|Cat_306|306|223
simulador credito personal|Cat_251|251|163
cual es el servicio de asistencia al viajero que cuento con visa|Cat_282|282|196
quisiera ver la simulacion por un prestamo personal y pagarlo en cuotas|Cat_251|251|163
cual es la tasa de interes de personales?|Cat_258|258|170
numero llamar comunicarme interior informacion|Cat_147|147|48
como pago la master por el autoservicio?|Cat_342|342|263
necesitaria renovar la tarjeta de debito ya que en algunos comercio no lo lee el posnet y parece que esta gastado|Cat_316|316|234
quisiera que me hagan una nueva tarjeta de credito visa. dado que tengo en carton gastado y es del citibank|Cat_316|316|234
estoy viendo en home banking consumos en dolares que no realicé|Cat_112|112|15
me inhabilitaron la tarjeta que tengo con el banco y no me puedo acercar a la sucursal|Cat_286|286|200
ayer se vencía una factura de aguas cordobesas y no se debito|Cat_129|129|28
se deposito mi sueldo?|Cat_50|50|298
cuando estara habilitado el online banking|Cat_124|124|23
las tres preguntas de validación para obtener el usuario y la clave no me las da. salta un error|Cat_1|1|1
saldos en tarjeta master card|Cat_303|303|220
pagar facturar visa|Cat_132|132|32
me robaron después de salir del cajero|Cat_265|265|178
quiero agregar un servicio a la agenda de pagos|Cat_132|132|32
yo tengo tarjeta de debito y queria sacar una tarjeta de credito|Cat_337|337|257
qué destino puedo darle al préstamo hipotecario?|Cat_228|228|137
como hago para adquirir el préstamo?|Cat_223|223|132
prestamo.personal|Cat_225|225|134
telefonos del baco rio santander|Cat_147|147|48
costo extración dinero cajero banco santader visa debitar|Cat_96|96|348
si tengo cuotas pendientes en uvas puedo vender igual el depto que compre?|Cat_260|260|173
generar clave numerica para cajero automatico de mi tarjeta de debito|Cat_288|288|202
estoy intentando comunicarme con la sucursal y nadie contesta!|Cat_127|127|26
de que se trata el sorteo|Cat_143|143|44
queria saber si me cobran las tranferencias que hago|Cat_83|83|334
pagar afip|Cat_129|129|28
como puedo saver si depocitaron dinero a mi nombre|Cat_50|50|298
telefonos banco|Cat_147|147|48
recordar dato|Cat_1|1|1
cuantos me dan para la operacion de hipoteca|Cat_236|236|146
estoy en el exterior y no puedo sacar plata|Cat_298|298|213
puedo solicitar un prestamo hipotecario a traves de la web del banco?|Cat_223|223|132
favor paseme pagina cambiar contraseña|Cat_1|1|1
sumo los mismos puntos que todos si tengo platinum?|Cat_323|323|242
como se ajusta la cuota uvas?|Cat_219|219|127
cuanto tendria que abonar el resumen el total|Cat_342|342|263
necesito la direccion de la sucursal barracas|Cat_91|91|343
tenia santander volver|Cat_39|39|285
estoy en otro país y me están pidiendo un pin para usar la tarjeta|Cat_289|289|203
quisiera saber si depisiti a plzo fijo. cuanto obtengo al final?|Cat_181|181|86
cuando vence la primera cuota de mi prestamo hipotecario|Cat_259|259|171
quiero denunciar robo de cheque|Cat_48|48|295
debitaron dinero usar|Cat_112|112|15
tengo algún préstamo personal disponible?|Cat_223|223|132
cuál es la diferencia entre stop debit y cancelar transferencia automática?|Cat_83|83|334
sacar un prestamo personal|Cat_223|223|132
cuanto es el monto mínimo para tener un plazo fijo|Cat_183|183|88
dar de baja mail|Cat_125|125|24
comisión giro en descubierto|Cat_56|56|304
quiero sacar una supercuenta|Cat_39|39|285
el seguro cubre incendio del edificio?|Cat_265|265|178
necesario obtener caja ahorro pesoss|Cat_39|39|285
cuál es la app del banco|Cat_3|3|215
plata transferir|Cat_83|83|334
primer ingreso|Cat_3|3|215
adelantar pagar tarjeta|Cat_342|342|263
me dicen que tengo una amex para retirar pero yo no la pedí.|Cat_310|310|228
cuál es el monto límite para extraer por ventanilla?|Cat_128|128|27
quiero pagar mi tarjeta del hipotecario mediante mi tarjeta de debito del santander|Cat_132|132|32
aciento que ya pague|Cat_195|195|101
no puedo hacer transferencias...por la clave token.|Cat_5|5|297
valor de la propiedad a comprar|Cat_217|217|125
hice una tranferencia equivocada|Cat_82|82|333
problema extranjero|Cat_289|289|203
que es el traspaso a mi cuenta sueldo|Cat_85|85|336
en que moneda puedo hacer una transferencia afuera?|Cat_36|36|282
como saco dinero del cajero|Cat_298|298|213
queria saber cómo se activa la tarjeta de débito visa|Cat_301|301|218
nesecitp realizar compra de moneda extranjera|Cat_166|166|69
un fideicomiso es apto para solicitar un préstamo hipotecario?|Cat_228|228|137
como pagar resumen tarjeta|Cat_342|342|263
necesitar pagar tarjeta santander|Cat_342|342|263
me pueden dar informacion sobre el préstamo?|Cat_225|225|134
dudar movimiento|Cat_115|115|17
me mandan la póliza a mi domicilio?|Cat_266|266|179
querer trámite agregar firmante|Cat_38|38|284
puedo solicitar un prestamo personal para remodelar mi casa?|Cat_228|228|137
porque no me debitaron la tarjeta?|Cat_346|346|267
tengo que recibir una trasferencia en euros|Cat_32|32|238
como activo la tarjeta de ccredito y débito para usar en el exterior|Cat_304|304|221
quiero recibir dinero desde el exterior|Cat_32|32|238
cerrar cuenta sueldo|Cat_41|41|288
queria saber cuanto es la tasa para creditos prendarios a corto plazo!|Cat_258|258|170
cambiar monto de adhesión al servicio de gas|Cat_106|106|9
puedo pedir que me manden la tarjeta a la sucursal y retirar directamente ahí?|Cat_318|318|236
queria consultar el límite en cuotas|Cat_303|303|220
cómo hago para solicitar la baja de mi cuenta?|Cat_41|41|288
cuanto es deuda total|Cat_99|99|351
no soy cliente y estoy interesado en un préstamo de como son las cuotas interés requisitos y de más|Cat_251|251|163
no puedo pagar el monotributo por online banking|Cat_129|129|28
transferir dinero otro banco pagar visa|Cat_342|342|263
querer consultar margen tarjeta|Cat_303|303|220
quiero sacar un préstamo hipotecario|Cat_223|223|132
quisiera informarme sobre un prestamo personal|Cat_225|225|134
como se hace el pago de la tarjeta?|Cat_342|342|263
como seria un ejemplo de como se va ajustando el préstamo?|Cat_229|229|138
en un préstamo hipotecario  cuanto me financian?|Cat_245|245|156
podes averiguar si ya me envíaron la tarjeta|Cat_293|293|208
me debitaron la tarjeta dos veces|Cat_350|350|272
le erré con una compra con la tarjeta quiero cancelarla|Cat_281|281|195
mi hermana es discapacitada puedo usar ese certificado para sacar el credito y tener un descuento?|Cat_253|253|165
como puedo desconocer un gasto en mi visa|Cat_112|112|15
querer saber deber tarjeta visa|Cat_342|342|263
como cambio mi clave y nombre de usuario|Cat_1|1|1
está abierto hoy el banco?|Cat_114|114|16
cual seria el total del mantenimiento de una tarjeta de debito|Cat_96|96|348
como se actualizan las uvas|Cat_108|108|11
queria sacar un prestamo para seguir arreglando mi casa|Cat_223|223|132
se le puede agregar plata a un superfondo?|Cat_176|176|80
adherí al debito dos facturas diferentes de naturgy pero una no es debitada|Cat_129|129|28
cuanto demora en llegar una transferencia a otro país?|Cat_36|36|282
hablar con un operador|Cat_29|29|204
yo estoy viajando al exterior necesito saber   si la poliza que me mandaron es suficiente para presentar ante la aduana y ante gendarmería  cuando me paren para pedir la identificación del seguro|Cat_265|265|178
no puedo ver mi resumen de american|Cat_138|138|38
necesito saber margen tarjeta|Cat_303|303|220
quiero reversar una transferencia|Cat_82|82|333
me llamo|Cat_23|23|139
inconveniente debitar automatico realizar afip|Cat_129|129|28
como pongo en debito automatico el monotributo?|Cat_132|132|32
cobrar pagar después vence resumen|Cat_349|349|270
puedo pagar pesos del préstamo personal que tengo|Cat_246|246|157
programar pago tarjeta|Cat_342|342|263
quiero dar de baja la tarjeta de debito|Cat_41|41|288
quiero solicitar una tarjeta de credito|Cat_337|337|257
puedo hacer un retiro de efectivo por caja en cualquier sucursal?|Cat_128|128|27
hice una solicitud de tarjeta  cuanto tiempo tiene que pasar para que la den.|Cat_118|118|19
saber margen tarjeta|Cat_303|303|220
tuve inconvenientes con el producto que canjeé y queria solicitar una devolución|Cat_329|329|248
hola quiero saver el estado de mi deuda de refinanciacion|Cat_99|99|351
reenvío tarjeta de debito|Cat_316|316|234
me podria decir el limite de compra en cuotas de la american|Cat_303|303|220
¿hay una tasa preferencial para plazo fijo?|Cat_184|184|89
en que consiste la certificación de firma?|Cat_94|94|346
necesito saber como cancelar el préstamo que tengo|Cat_246|246|157
queria saber si estoy debiendo algo en santander rio|Cat_99|99|351
no puedo entrar a online banking porque no tengo tarjeta de debito|Cat_3|3|215
vacación pagar tarjeta querer|Cat_342|342|263
que valor de la propiedad se toma en cuenta para la financiacií¬≠¬≠¬≠¬≠í¬≠¬≠‚ç¨≈°¬¨¬†‚äö¬¨√ö¬°¬¨‚äö¬¨√ö¬æ¬¢‚äö¬¨√ö¬°¬¨í‚ç¨¬¶¬°¬¨í¬≠¬≠‚ç¨≈°¬¨¬¶‚äö¬¨√ö¬°¬¨í‚ç¨¬¶‚äö¬¨√ö‚äún y la escritura?|Cat_217|217|125
depositar plata cajero pagar tarjeta|Cat_342|342|263
quiero abrir una segunda cuenta|Cat_39|39|285
sobre retenciones de ingresos brutos  como funciona?|Cat_122|122|22
me gustaria saber como puedo pagar lo que adeudo|Cat_192|192|98
en meses cuanto pagaria en|Cat_251|251|163
quiero saber donde salen los ganadores del concurso de santander?|Cat_144|144|45
hice una compra de tachos de basura por mis puntos super club y no me llegan aún|Cat_326|326|245
clave para extraer con tarjeta de ccredito|Cat_288|288|202
me sacaron mis puntos superclub.|Cat_325|325|244
extra chash|Cat_296|296|211
termine de pagar un préstamo prendario y quiero saber que pasos tengo que seguir... se que tendrí¬≠¬≠¬≠¬≠a que pasar a retirar la prenda del auto pero no se a partir de cuando|Cat_235|235|145
recursos humanos|Cat_102|102|5
por que el plazo fijo que tenía se renovó solo?|Cat_180|180|85
cuanto sale hacer una transferencia al exterior?|Cat_31|31|227
quiero saber como subir el monto de mi tarjeta santander  visa|Cat_302|302|219
queria saber si calificaba para un prestamo personal|Cat_248|248|159
descontar comprar efectivo|Cat_112|112|15
me computaron una compra de amex en un pago cuando debieron hacerlo en cuotas.|Cat_339|339|259
si puedo solicitar un prestamo nobsiendo cliente|Cat_248|248|159
en que sucursales se pueden comrpar euros|Cat_166|166|69
nunca recibi no llegar mail tarjeta mastercard|Cat_293|293|208
tengo dudas sobre la extencion de tarjeta|Cat_334|334|254
quiero saber xq no me figura el dinero de una tranferencia|Cat_77|77|327
necesito pagar cuentas|Cat_132|132|32
necesito tomar prestamo|Cat_223|223|132
sueldo banco queria podia solicitar tarjeta credito|Cat_337|337|257
bajo cuenta|Cat_41|41|288
cómo consigo la clave de pago mis cuentas?|Cat_131|131|31
necesito llamar desde el exterior|Cat_147|147|48
por favor necesitaria hablar con algun personal que me de una mano!|Cat_29|29|204
de cuento serían las cuotas por mes del préstamo.|Cat_251|251|163
pedí la baja del seguro del auto y no veo que este realizada  como lo confirmo?|Cat_263|263|176
tarjeta debitar tendra retencion 30% comprar españa|Cat_289|289|203
me podrías pasar como hago para sacar un ccredito tengo recibo de sueldo|Cat_223|223|132
online banking verlo página querer generar clave poder|Cat_1|1|1
¿cuando se termina el mantenimiento para poder usar el homebanking?|Cat_124|124|23
quisiera saber cuanto seria la cuota del prendario pagando en cuotas|Cat_251|251|163
numero telefonico consultar|Cat_147|147|48
consulte sobre los tiempos de acreditacion al momento de rescate de fondos.|Cat_175|175|79
hacer recargar sube obtener descuento|Cat_312|312|230
no soy cliente de santander pero quiero pedir un prestamo|Cat_248|248|159
quiero avisar que perdí la chequera|Cat_48|48|295
soy socia de super club??|Cat_300|300|217
saldo titulo|Cat_188|188|93
queria saber cual es la tasa de interes para un plazo fijo a dias|Cat_183|183|88
puedo acercarme a alguna sucursal para iniciar el tramite de un préstamo hipotecario?|Cat_212|212|120
tuve un inconveniente con la toma de luz  cómo pido la asistencia?|Cat_265|265|178
hace rato intento entrar a la web y no puedo|Cat_117|117|18
que dia me tienen que debitar lo que debo x la tarjeta de credito visa ?|Cat_341|341|262
quiero solicitar la tarjeta de debito|Cat_39|39|285
te escribo para denunciar el robo de una notebook que la tengo asegurada|Cat_265|265|178
cuales son los gastos de escritura de préstamo hipotecario? se pueden financiar?|Cat_210|210|118
el monto máximo del préstamo siempre va a estar relacionado con el precio de la propiedad?|Cat_236|236|146
si me quedo sin trabajo que pasa con el prestamo hipotecario que pedí?|Cat_240|240|151
se puede hacer el pago de la tarjeta en el banco?|Cat_342|342|263
me dice que tengo que abonar en tarjeta santader visa y yo em dia sabado abone|Cat_279|279|193
vos me podes tomar un reclamo?|Cat_135|135|35
me puedo hacer la tarjeta santander women?|Cat_357|357|279
quiero cancelar una refinanciacion|Cat_192|192|98
que costo tiene recibir plata del exterior?|Cat_31|31|227
quiero calcular el prestamo hipotecario|Cat_251|251|163
debitos pendientes|Cat_93|93|345
yo quisiera darle de bajas a los seguros que tengo|Cat_262|262|175
pagos duplicados con mi tarjeta de credito|Cat_112|112|15
quiero saber como sacar  visa|Cat_337|337|257
como gestiono la calificacion de un préstamo hipotecario?|Cat_223|223|132
las cuotas del préstamo son fijas y en pesos|Cat_219|219|127
saber estado tarjeta devito dejar olvidar cajero|Cat_293|293|208
en cuanto tiempo te dan el alta del programa de millas?|Cat_272|272|186
dejen de enviar la póliza con la dirección incorrecta|Cat_267|267|180
como se hace para abrir una cuenta corriente|Cat_39|39|285
quiero el numero de telefono de banco santander por tarjeta visa?|Cat_147|147|48
consulta mi préstamo vence hoy|Cat_239|239|149
hacer canje punto descuento|Cat_312|312|230
me pide autorización para una compra por internet|Cat_283|283|197
a que tasa es el préstamo hipotecario?|Cat_258|258|170
reclamar promoción anunciar descuento topar reintegrar|Cat_312|312|230
deposite un cheque hoy queria saber si se acredito por que no me aparece en mis movimientos|Cat_109|109|12
hacer una simulacion|Cat_251|251|163
donde puedo retirar el plastico|Cat_293|293|208
consulta resuemen tarjeta|Cat_138|138|38
se puede gestionar online un prestamo|Cat_223|223|132
quiero asegurar una paleta de padel|Cat_261|261|174
canjee puntos superclub y aun no recibo nada|Cat_326|326|245
intereses pago tarjeta mora|Cat_349|349|270
una persona que tiene aaños puede sacar un ccredito con aaños de plazo?|Cat_248|248|159
a donde entro para pago de servicios|Cat_132|132|32
saber limite comprar|Cat_303|303|220
debitar servicio publicos automaticos|Cat_132|132|32
quisiera consultar si puedo realizar la certificación de firma en cualquier sucursal y que preciso llevar.|Cat_94|94|346
como obtengo mi primera tarjeta credito|Cat_337|337|257
se venció mi tarjeta de debito y no me llegue el nuevo ejemplar|Cat_316|316|234
necesitaría saber como se hace para poner un nuevo mail.|Cat_103|103|6
comunico cobranzas|Cat_194|194|100
no llegan las facturas papel de la tarjeta a tiempo|Cat_138|138|38
como ingreso a home banking|Cat_3|3|215
tengo tarjeta de santander rio  como hago para sumar millas en aadnatage_|Cat_274|274|188
en donde te fijás los puntos superclub|Cat_325|325|244
quiero consultarles  el reintegro de como se considera el tope?|Cat_311|311|229
querer agregar personar|Cat_38|38|284
por que siempre hay problemas cuando querés usar la tarjeta en otro país?|Cat_289|289|203
consulta sobre saldo de la tarjeta|Cat_303|303|220
limite tarjeta|Cat_303|303|220
como cambiar el tope de pago de impuestos|Cat_93|93|345
en online bankig me dice que no pueden identificarme para generar la nueva clave|Cat_1|1|1
queria saber cómo tengo que hacer para renovar el plástico de mi tarjeta de débito|Cat_316|316|234
como puede conocer mi número de advantage|Cat_275|275|189
problema cajero|Cat_297|297|212
cuanto tarda un cheque del exterior en acreditarse?|Cat_30|30|216
cuál es el horario de transferencias|Cat_83|83|334
necesito saber el mail de mi ejecutivo|Cat_126|126|25
desbloquear homebanking|Cat_1|1|1
me quedo mas tiempo  tengo que volver avisar el viaje?|Cat_304|304|221
quiero que me avisen cada vez que me depositen|Cat_125|125|24
como habilitar un cotitular de una tarjeta de débito|Cat_334|334|254
como hay que hacer para obtener el credito|Cat_223|223|132
para blanquear mi clave banelco|Cat_288|288|202
dar de baja super club|Cat_299|299|214
compra protegida con american express|Cat_311|311|229
cómo debería hacer para trabajar en el banco?|Cat_102|102|5
tengo un seguro de la casa y se me rompió el televisor y una cafetera|Cat_265|265|178
descuento a jubilados en farmacias|Cat_311|311|229
cómo hago para migrar la cuenta?|Cat_65|65|314
lecaps|Cat_159|159|61
quisiera saber si puedo solicitar un préstamo al no ser cliente del banco|Cat_248|248|159
no se porque no me deja abonar ningun servicio|Cat_129|129|28
realicé el cierre de esta cuenta hace unos días. necesito saber si ya tengo disponible para retirar el certificado de libre de deuda|Cat_64|64|313
transferencia automatico|Cat_83|83|334
aparece consumo realize tarjeta credito peso dolar|Cat_112|112|15
quiero habilitar una tarjeta adicional de ccredito me podrías pasar el número de telefono para llamar|Cat_301|301|218
necesito el telefono de tarjeta american|Cat_147|147|48
hay una edad mí¬≠¬≠¬≠¬≠¬å¬åxima para solicitar el préstamo?|Cat_248|248|159
cuanto es el monto máximo del prestamo?|Cat_236|236|146
precio mensual supercuenta|Cat_96|96|348
requisito necesario abrir caja ahorro beneficio|Cat_39|39|285
los prestamos hipotecarios sirven para amplaición de vivienda?|Cat_228|228|137
si mi resumen cierra hoy y hago una compra hoy. entra para agosto o para septiembre?|Cat_341|341|262
como puedo hacer para comprar dolares desde home banking|Cat_166|166|69
necesito tener un trabajo en relacion de dependencia para acceder a un préstamo hipotecario?|Cat_248|248|159
desconocer gasto tarjeta visa resumen|Cat_112|112|15
a que becas puedo aplicar siendo estudiante|Cat_358|358|280
impuestos compra venta inmobiliaria|Cat_210|210|118
querer cancelar pagar atravez home banking|Cat_129|129|28
como debo hacer para tener el 25% de descuento en farmacias|Cat_311|311|229
necesito renovar el stock de lebacs|Cat_162|162|65
me confirman la fecha en la que se acredita el pago de la tarjeta?|Cat_279|279|193
abrirme vivir extranjero|Cat_39|39|285
querer agregar servicio agenda pago|Cat_132|132|32
cuales son las condiciones generales del préstamo?|Cat_225|225|134
estoy interesado en pedir un préstamo prendario|Cat_223|223|132
plastico vensido|Cat_316|316|234
necesito un plomero porque tengo un caño roto|Cat_265|265|178
cuales son los requisitos para el préstamo hipotecario procrear?|Cat_248|248|159
transferí dolares a mi cuenta de afuera y no los recibí|Cat_33|33|249
el plazo fijo vence mañana puede ser que un día antes no figure?|Cat_185|185|90
cómo hago para renovar la tarjeta de débito|Cat_316|316|234
queria saber si la cuenta estaba habiliatada para hacer extracion d adelanto d sueldo?|Cat_57|57|305
cuendo llegar tarjeta debito amex solicité|Cat_293|293|208
perdi mi credencial universitaria|Cat_294|294|209
donde busco las promociones|Cat_311|311|229
queria saber cual es el estado de mi ccredito|Cat_215|215|123
me faltan millas  como hago para saber donde están?|Cat_275|275|189
quieronumero telefono comunicarme|Cat_147|147|48
quiero información para solicitar un préstamo hipotecario|Cat_225|225|134
quiero realizar el pago de un servicio y no puedo|Cat_129|129|28
la adicional tiene el mismo límite que la mia?|Cat_334|334|254
no puedo recargar directv|Cat_129|129|28
como voy a saber que promociones tengo si no me avisan?|Cat_321|321|240
transferencia al extranjero|Cat_36|36|282
me habilitaron un seguro sin mi consentimiento|Cat_264|264|177
ya estoy llamando al banco a quejarme|Cat_133|133|33
realizar debitar automatico epec|Cat_129|129|28
si no sos cliente podes acceder a un prestamo via online|Cat_248|248|159
quiero abrirme una caja de ahorro|Cat_39|39|285
no recuerdo haber hecho stop debit y este mes se frenó el pago de uno de los servicios que tenía asociados.|Cat_129|129|28
telefono comunicarme|Cat_147|147|48
en que año me llega el producto que cambié con los puntos|Cat_326|326|245
si necesito usar la asistencia  a donde llamo?|Cat_265|265|178
queria cargar tarjeta colectivo homebanking|Cat_132|132|32
puedo solicitar por la app un préstamo hipotecario?|Cat_223|223|132
el prestamo hipotecario aplica para refacciones?|Cat_228|228|137
le hice una extensión de mi tarjeta pero el límite es bajo como puedo cambiarlo?|Cat_335|335|255
necesito una cuenta para que me acrediten el sueldo|Cat_72|72|322
que pasa si a futuro la cuota del préstamo hipotecario supera el % de mis ingresos?|Cat_249|249|160
agregar aysa tarjeta|Cat_132|132|32
pagar tarjeta debito debitaron importar|Cat_112|112|15
cuando puedo volver a usar la tarjeta de credito|Cat_314|314|232
puedo abrir mi cuenta con la precaria de mi dni?|Cat_39|39|285
el préstamo prendario es en pesos?|Cat_225|225|134
refinanciar tarjeta|Cat_308|308|225
cambiar radicacion de cuenta|Cat_65|65|314
cambiar contraseña homebanking|Cat_1|1|1
cargar sube|Cat_132|132|32
no llegar tarjeta santander llegar mail|Cat_293|293|208
debo tarjeta debitar|Cat_39|39|285
estoy interesada en abrir una cuenta. no tengo recibo de sueldo|Cat_39|39|285
quiero transferir dólar único|Cat_83|83|334
actualizar limite de prestamos|Cat_196|196|102
recibi mi nueva tarjeta de debito. como reseteo el pin?|Cat_288|288|202
sabes de muchos cosas?|Cat_16|16|62
ya tengo un prestamo y queria ver si podia sacar otro|Cat_218|218|126
cómo solicito asistencia en el hogar?|Cat_265|265|178
convenio entre santander rio y uai?|Cat_359|359|281
quiero modificar el débito automático de mi tarjeta santander crédito|Cat_345|345|266
queria saber el estado del envío por el cual cambie los puntos superclub|Cat_326|326|245
programar pagar tarjeta credito|Cat_342|342|263
me llamó alguien del banco para venir a mi casa por lo del robo pero lo espere y no vino  que debo hacer? a donde llamo?|Cat_270|270|184
solicitar tarjeta credito|Cat_337|337|257
cuando anuncian las promos del día del padre?|Cat_311|311|229
solo el titular de la tarjeta puede canjear puntos superclub|Cat_322|322|241
como veo mis servicios adheridos a debito automatico en tarjeta|Cat_93|93|345
la tarjeta se quedo adentro del cajero|Cat_294|294|209
solicitud de tarjeta de credito|Cat_337|337|257
hay que habilitar los nuevos plásticos|Cat_301|301|218
en un prestamo cuanto es la cuota|Cat_251|251|163
como hago para sacar la tarjeta de coordenadas|Cat_5|5|297
cuál es la tasa financiera total?|Cat_224|224|133
montomaximo transferencia banco|Cat_83|83|334
necesito modificar el límite del sobregiro|Cat_57|57|305
quiero renovar mi monto en lebacs|Cat_162|162|65
me cobraron una tarjeta que ya estaba pago y quiero la devolución|Cat_350|350|272
no me llego la confirmación del canje de puntos superclub|Cat_328|328|247
como gestiono un prestamo personal?|Cat_223|223|132
una vez aprobada la solicitud del préstamo hipotecario como continua el tramite?|Cat_215|215|123
farmacia para jubilados|Cat_311|311|229
